NMDC schema class	NMDC schema slot	NCBI postgres field name	static_value
Biosample	abs_air_humidity	abs_air_humidity	
Biosample	add_date		
Biosample	add_recov_method	add_recov_method	
Biosample	additional_info	additional_info	
Biosample	address	address	
Biosample	adj_room	adj_room	
Biosample	aero_struc		
Biosample	agrochem_addition	agrochem_addition	
Biosample	air_PM_concen		
Biosample	air_temp	air_temp	
Biosample	air_temp_regm	air_temp_regm	
Biosample	al_sat	al_sat	
Biosample	al_sat_meth	al_sat_meth	
Biosample	alkalinity	alkalinity	
Biosample	alkalinity_method	alkalinity_method	
Biosample	alkyl_diethers	alkyl_diethers	
Biosample	alt	altitude	
Biosample	alternative_identifiers		
Biosample	aminopept_act	aminopept_act	
Biosample	ammonium	ammonium	
Biosample	ammonium_nitrogen		
Biosample	amount_light		
Biosample	analysis_type		
Biosample	ances_data	ances_data	
Biosample	annual_precpt	annual_precpt	
Biosample	annual_temp	annual_temp	
Biosample	antibiotic_regm	antibiotic_regm	
Biosample	api	api	
Biosample	arch_struc		
Biosample	aromatics_pc		
Biosample	asphaltenes_pc		
Biosample	atmospheric_data	atmospheric_data	
Biosample	avg_dew_point		
Biosample	avg_occup	avg_occup	
Biosample	avg_temp	avg_temp	
Biosample	bac_prod	bac_prod	
Biosample	bac_resp	bac_resp	
Biosample	bacteria_carb_prod	bacteria_carb_prod	
Biosample	barometric_press	barometric_press	
Biosample	basin		
Biosample	bathroom_count		
Biosample	bedroom_count		
Biosample	benzene	benzene	
Biosample	biochem_oxygen_dem	biochem_oxygen_dem	
Biosample	biocide	biocide_used	
Biosample	biocide_admin_method		
Biosample	biol_stat	biol_stat	
Biosample	biomass	biomass	
Biosample	biosample_categories		
Biosample	biotic_regm	biotic_regm	
Biosample	biotic_relationship	biotic_relationship	
Biosample	bishomohopanol	bishomohopanol	
Biosample	blood_press_diast	blood_press_diast	
Biosample	blood_press_syst	blood_press_syst	
Biosample	bromide	bromide	
Biosample	build_docs		
Biosample	build_occup_type	build_occup_type	
Biosample	building_setting	building_setting	
Biosample	built_struc_age		
Biosample	built_struc_set		
Biosample	built_struc_type		
Biosample	bulk_elect_conductivity		
Biosample	calcium	calcium	
Biosample	carb_dioxide	carb_dioxide	
Biosample	carb_monoxide		
Biosample	carb_nitro_ratio	carb_nitro_ratio	
Biosample	ceil_area		
Biosample	ceil_cond		
Biosample	ceil_finish_mat		
Biosample	ceil_struc		
Biosample	ceil_texture		
Biosample	ceil_thermal_mass		
Biosample	ceil_type		
Biosample	ceil_water_mold		
Biosample	chem_administration	chem_administration	
Biosample	chem_mutagen	chem_mutagen	
Biosample	chem_oxygen_dem	chem_oxygen_dem	
Biosample	chem_treat_method		
Biosample	chem_treatment	chem_treatment	
Biosample	chimera_check		
Biosample	chloride	chloride	
Biosample	chlorophyll	chlorophyll	
Biosample	climate_environment	climate_environment	
Biosample	collected_from		
Biosample	collection_date	collection_date	
Biosample	collection_date_inc		
Biosample	collection_time		
Biosample	collection_time_inc		
Biosample	community		
Biosample	conduc	conduc	
Biosample	cool_syst_id		
Biosample	core field		
Biosample	crop_rotation	crop_rotation	
Biosample	cult_root_med	cult_root_med	
Biosample	cur_land_use	cur_land_use	
Biosample	cur_vegetation	cur_vegetation	
Biosample	cur_vegetation_meth	cur_vegetation_meth	
Biosample	date_last_rain		
Biosample	density	density	
Biosample	depos_env		
Biosample	depth	depth	
Biosample	description	description	
Biosample	dew_point	dew_point	
Biosample	diether_lipids	diether_lipids	
Biosample	diss_carb_dioxide	diss_carb_dioxide	
Biosample	diss_hydrogen	diss_hydrogen	
Biosample	diss_inorg_carb	diss_inorg_carb	
Biosample	diss_inorg_nitro	diss_inorg_nitro	
Biosample	diss_inorg_phosp	diss_inorg_phosp	
Biosample	diss_iron		
Biosample	diss_org_carb	diss_org_carb	
Biosample	diss_org_nitro	diss_org_nitro	
Biosample	diss_oxygen	diss_oxygen	
Biosample	diss_oxygen_fluid		
Biosample	dna_absorb1		
Biosample	dna_absorb2		
Biosample	dna_collect_site		
Biosample	dna_concentration		
Biosample	dna_cont_type		
Biosample	dna_cont_well		
Biosample	dna_container_id		
Biosample	dna_dnase		
Biosample	dna_isolate_meth		
Biosample	dna_organisms		
Biosample	dna_project_contact		
Biosample	dna_samp_id		
Biosample	dna_sample_format		
Biosample	dna_sample_name		
Biosample	dna_seq_project		
Biosample	dna_seq_project_name		
Biosample	dna_seq_project_pi		
Biosample	dna_volume		
Biosample	dnase_rna		
Biosample	door_comp_type		
Biosample	door_cond		
Biosample	door_direct		
Biosample	door_loc		
Biosample	door_mat		
Biosample	door_move		
Biosample	door_size		
Biosample	door_type		
Biosample	door_type_metal		
Biosample	door_type_wood		
Biosample	door_water_mold		
Biosample	down_par	down_par	
Biosample	drainage_class	drainage_class	
Biosample	drawings	drawings	
Biosample	ecosystem		
Biosample	ecosystem_category		
Biosample	ecosystem_subtype		
Biosample	ecosystem_type		
Biosample	efficiency_percent	efficiency_percent	
Biosample	elev	elev	
Biosample	elevator	elevator	
Biosample	embargoed		
Biosample	emsl_biosample_identifiers		
Biosample	emulsions	emulsions	
Biosample	env_broad_scale	env_broad_scale	
Biosample	env_local_scale	env_local_scale	
Biosample	env_medium	env_medium	
Biosample	env_package	env_package	
Biosample	environment field		
Biosample	escalator	escalator	
Biosample	ethylbenzene	ethylbenzene	
Biosample	exp_duct		
Biosample	exp_pipe		
Biosample	experimental_factor	experimental_factor	
Biosample	experimental_factor_other		
Biosample	ext_door		
Biosample	ext_wall_orient		
Biosample	ext_window_orient		
Biosample	extreme_event	extreme_event	
Biosample	fao_class	fao_class	
Biosample	fertilizer_regm	fertilizer_regm	
Biosample	field	field	
