Structured comment name	Value syntax	Example																										
abs_air_humidity	{float} {unit}	9 gram per gram																										
adapters	"{dna},{dna}"																											
add_recov_method	[Water Injection|Dump Flood|Gas Injection|Wag Immiscible Injection|Polymer Addition|Surfactant Addition|Not Applicable|other];{timestamp}	Polymer Addition;2018-06-21T14:30Z																										
additional_info	{text}																											
address	{integer}{text}																											
adj_room	{text};{integer}																											
adjacent_environment	{termLabel}{[termID]}	estuarine biome [ENVO:01000020]																										
aero_struc	[plane|glider]	plane																										
agrochem_addition	{text};{float} {unit};{timestamp}	roundup;5 milligram per liter;2018-06-21																										
agrochem_addition	{text};{float} {unit};{timestamp}																											
air particulate matter concentration	{text};{float} {unit}	PM2.5;10 microgram per cubic meter																										
air_flow_impede	[obstructed|unobstructed]; {text}; {measurement value}	obstructed;hay bales; 2 m																										
air_PM_concen	{text};{float} {unit}	PM2.5;10 microgram per cubic meter																										
air_temp	{float} {unit}	20 degree Celsius																										
air_temp	{float} {unit}	4 degree Celsius																										
air_temp_regm	{float} {unit};{Rn/start_time/end_time/duration}	25 degree Celsius;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
al_sat	{float} {unit}																											
al_sat_meth	{PMID}|{DOI}|{URL}																											
alkalinity	{float} {unit}	50 milligram per liter																										
alkalinity_method	{text}	titration																										
alkyl_diethers	{float} {unit}	0.005 mole per liter																										
alt	{float} {unit}	100 meter																										
aminopept_act	{float} {unit}	0.269 mole per liter per hour																										
ammonium	{float} {unit}	1.5 milligram per liter																										
amniotic_fluid_color	{text}																											
amount_light	{float} {unit}																											
ances_data	{text}	A/3*B																										
anim_water_method	{termLabel} {[termID]}	water trough [EOL:0001618]																										
animal_am	{text}	tetracycline																										
animal_am_dur	{float} {day}	3 days																										
animal_am_freq	{float} {unit}	once daily																										
animal_am_route	{text}	oral-feed																										
animal_am_use	{text}	shipping fever																										
animal_body_cond	[normal|over conditioned|under conditioned]	under conditioned																										
animal_diet	{text}	Hay [FOODON_03301763]																										
animal_diet	{text}	Hay [FOODON:03301763]																										
animal_feed_equip	{termLabel} {[termID]}	self feeding [EOL:0001645]| straight feed trough [EOL:0001661]																										
animal_feed_equip	{termLabel}{[termID]}	self feeding [EOL:0001645]| straight feed trough [EOL:0001661]																										
animal_group_size	{integer}	80																										
animal_housing	{termLabel} {[termID]}	pen rearing system [EOL:0001636]																										
animal_intrusion	{termLabel} {[termID]}|{integer}	Thripidae [NCBITaxon:45053]																										
animal_sex	[castrated female|castrated male|intact female|intact male]	castrated male																										
annot	{text}																											
annual_precpt	{float} {unit}																											
annual_temp	{float} {unit}	12.5 degree Celsius																										
antibiotic_regm	{text};{float} {unit};{Rn/start_time/end_time/duration}	penicillin;5 milligram;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
api	{float} {unit}																											
arch_struc	[building|shed|home]	shed																										
area_samp_size	{integer} {unit} x {integer} {unit}	12 centimeter x 12 centimeter																										
aromatics_pc	{text};{float} {unit}																											
asphaltenes_pc	{text};{float} {unit}																											
assembly_name	{text} {text}	"HuRef, JCVI_ISG_i3_1.0"																										
assembly_quality	{software};{version};{parameters}	"metaSPAdes;3.11.0;kmer set 21,33,55,77,99,121, default parameters otherwise"																										
