filename	key	count	classification
nmdc_materialized_patterns.yaml		1	application
nmdc_materialized_patterns.yaml	%	1	application
nmdc_materialized_patterns.yaml	,restroom	1	application
nmdc_materialized_patterns.yaml	1	1	application
nmdc_materialized_patterns.yaml	1/d	1	application
nmdc_materialized_patterns.yaml	16S_rRNA	1	application
nmdc_materialized_patterns.yaml	18S_rRNA	1	application
nmdc_materialized_patterns.yaml	1st floor	1	application
nmdc_materialized_patterns.yaml	23S_rRNA	1	application
nmdc_materialized_patterns.yaml	28S_rRNA	1	application
nmdc_materialized_patterns.yaml	2nd floor	1	application
nmdc_materialized_patterns.yaml	3D scans	1	application
nmdc_materialized_patterns.yaml	A horizon	1	application
nmdc_materialized_patterns.yaml	ANL	1	application
nmdc_materialized_patterns.yaml	ATP	1	application
nmdc_materialized_patterns.yaml	Acrisols	1	application
nmdc_materialized_patterns.yaml	Analysis Tool Parameter File	1	application
nmdc_materialized_patterns.yaml	AnalysisTypeEnum	1	application
nmdc_materialized_patterns.yaml	Andosols	1	application
nmdc_materialized_patterns.yaml	Androdioecious	1	application
nmdc_materialized_patterns.yaml	Androecious	1	application
nmdc_materialized_patterns.yaml	Androgynomonoecious	1	application
nmdc_materialized_patterns.yaml	Androgynous	1	application
nmdc_materialized_patterns.yaml	Andromonoecious	1	application
nmdc_materialized_patterns.yaml	AnnotatingWorkflow	1	application
nmdc_materialized_patterns.yaml	Annotation Amino Acid FASTA	1	application
nmdc_materialized_patterns.yaml	Annotation Enzyme Commission	1	application
nmdc_materialized_patterns.yaml	Annotation Info File	1	application
nmdc_materialized_patterns.yaml	Annotation KEGG Orthology	1	application
nmdc_materialized_patterns.yaml	Annotation Statistics	1	application
nmdc_materialized_patterns.yaml	Annually	1	application
nmdc_materialized_patterns.yaml	ApprovedHeld	1	application
nmdc_materialized_patterns.yaml	Archean	2	application
nmdc_materialized_patterns.yaml	Arenosols	1	application
nmdc_materialized_patterns.yaml	Arg-C	1	application
nmdc_materialized_patterns.yaml	Asp-N	1	application
nmdc_materialized_patterns.yaml	Assembly AGP	1	application
nmdc_materialized_patterns.yaml	Assembly Contigs	1	application
nmdc_materialized_patterns.yaml	Assembly Coverage BAM	1	application
nmdc_materialized_patterns.yaml	Assembly Coverage Stats	1	application
nmdc_materialized_patterns.yaml	Assembly Info File	1	application
nmdc_materialized_patterns.yaml	Assembly Scaffolds	1	application
nmdc_materialized_patterns.yaml	AttributeValue	1	application
nmdc_materialized_patterns.yaml	Azenta	1	application
nmdc_materialized_patterns.yaml	B horizon	1	application
nmdc_materialized_patterns.yaml	BAI File	1	application
nmdc_materialized_patterns.yaml	BEH-HILIC	1	application
nmdc_materialized_patterns.yaml	BFO	1	application
nmdc_materialized_patterns.yaml	BRC	1	application
nmdc_materialized_patterns.yaml	Basement	1	application
nmdc_materialized_patterns.yaml	Battelle	1	application
nmdc_materialized_patterns.yaml	BinQualityEnum	1	application
nmdc_materialized_patterns.yaml	Biosample	1	application
nmdc_materialized_patterns.yaml	BiosampleCategoryEnum	1	application
nmdc_materialized_patterns.yaml	Biosilicieous	1	application
nmdc_materialized_patterns.yaml	Bisexual	1	application
nmdc_materialized_patterns.yaml	Bitumen	1	application
nmdc_materialized_patterns.yaml	Bq	1	application
nmdc_materialized_patterns.yaml	C horizon	1	application
nmdc_materialized_patterns.yaml	C1	1	application
nmdc_materialized_patterns.yaml	C18	1	application
nmdc_materialized_patterns.yaml	C2	1	application
nmdc_materialized_patterns.yaml	C30	1	application
nmdc_materialized_patterns.yaml	C4	1	application
nmdc_materialized_patterns.yaml	C60	1	application
nmdc_materialized_patterns.yaml	C8	1	application
nmdc_materialized_patterns.yaml	CATH	1	application
nmdc_materialized_patterns.yaml	CATH FunFams (Functional Families) Annotation GFF	1	application
nmdc_materialized_patterns.yaml	CHEBI	1	application
nmdc_materialized_patterns.yaml	CHEMBL.COMPOUND	1	application
nmdc_materialized_patterns.yaml	CHMO	1	application
nmdc_materialized_patterns.yaml	CN	1	application
nmdc_materialized_patterns.yaml	CNT	1	application
nmdc_materialized_patterns.yaml	COG	1	application
nmdc_materialized_patterns.yaml	CRT Annotation GFF	1	application
nmdc_materialized_patterns.yaml	CalibrationInformation	1	application
nmdc_materialized_patterns.yaml	CalibrationStandardEnum	1	application
nmdc_materialized_patterns.yaml	CalibrationTargetEnum	1	application
nmdc_materialized_patterns.yaml	Cambisols	1	application
nmdc_materialized_patterns.yaml	Cambrian	2	application
nmdc_materialized_patterns.yaml	Carbonate	1	application
nmdc_materialized_patterns.yaml	Carboniferous	2	application
nmdc_materialized_patterns.yaml	Cel	1	application
nmdc_materialized_patterns.yaml	Cenozoic	2	application
nmdc_materialized_patterns.yaml	Centrifuge Krona Plot	1	application
