name	type	is_a	abstract
Any	ClassDefinition		
AnyValue	ClassDefinition		
Anything	ClassDefinition		
ArrayLinearizationOrderOptions	EnumDefinition		
BasicSubset	SubsetDefinition		
ColumnOrderedArray	ClassDefinition	GroupingByArrayOrder	
DataArray	ClassDefinition	DataStructure	
DataPackage	ClassDefinition	Information	
DataResource	ClassDefinition	Information	
DataStructure	ClassDefinition		True
FormatDialect	ClassDefinition		
FormatEnum	EnumDefinition		
GroupingByArrayOrder	ClassDefinition		
Information	ClassDefinition		True
MediaTypeEnum	EnumDefinition		
MinimalSubset	SubsetDefinition		
NDArray	ClassDefinition	DataStructure	True
ObjectOrientedProfile	SubsetDefinition		
OwlProfile	SubsetDefinition		
RelationalModelProfile	SubsetDefinition		
RowOrderedArray	ClassDefinition	GroupingByArrayOrder	
SpecificationSubset	SubsetDefinition		
TestRole	EnumDefinition		
UnitOfMeasure	ClassDefinition		
ValidationReport	ClassDefinition		
ValidationResult	ClassDefinition		
abbreviation	SlotDefinition		
abstract	SlotDefinition		
alias	SlotDefinition		
alias_contexts	SlotDefinition		
alias_predicate	SlotDefinition		
alias_predicate_enum	EnumDefinition		
aliases	SlotDefinition		
all_members	SlotDefinition	list_value_specification_constant	
all_of	SlotDefinition	boolean_slot	
allowed	SlotDefinition		
alt_description	ClassDefinition		
alt_description_source	SlotDefinition		
alt_description_text	SlotDefinition		
alt_descriptions	SlotDefinition		
annotatable	ClassDefinition		
annotation	ClassDefinition	extension	
annotations	SlotDefinition	extensions	
anonymous_class_expression	ClassDefinition	anonymous_expression	
anonymous_enum_expression	ClassDefinition		
anonymous_expression	ClassDefinition		True
anonymous_slot_expression	ClassDefinition	anonymous_expression	
anonymous_type_expression	ClassDefinition		
any_number	TypeDefinition		
any_of	SlotDefinition	boolean_slot	
apply_to	SlotDefinition		
array	SlotDefinition		
array_expression	ClassDefinition		
array_linearization_order	SlotDefinition		
asymmetric	SlotDefinition	relational_logical_characteristic	
attributes	SlotDefinition		
axis	SlotDefinition		
axis_index	SlotDefinition		
base	SlotDefinition		
bidirectional	SlotDefinition		
bindings	SlotDefinition		
binds_value_of	SlotDefinition		
boolean	TypeDefinition		
boolean_slot	SlotDefinition		True
broad mappings	SlotDefinition	mappings	
bytes	SlotDefinition		
categories	SlotDefinition		
children_are_mutually_disjoint	SlotDefinition		
class_definition	ClassDefinition	definition	
class_expression	ClassDefinition		
class_level_rule	ClassDefinition		True
class_rule	ClassDefinition	class_level_rule	
class_uri	SlotDefinition		
classes	SlotDefinition		
classification_rules	SlotDefinition		
close mappings	SlotDefinition	mappings	
code_set	SlotDefinition		
code_set_tag	SlotDefinition		
code_set_version	SlotDefinition		
comment_prefix	SlotDefinition		
comments	SlotDefinition		
common_metadata	ClassDefinition		
compression	SlotDefinition		
concepts	SlotDefinition		
conforms_to	SlotDefinition		
conforms_to_class	SlotDefinition	conforms_to	
conforms_to_schema	SlotDefinition	conforms_to	
consider_nulls_inequal	SlotDefinition		
contributors	SlotDefinition		
created_by	SlotDefinition		
created_on	SlotDefinition		
curie	TypeDefinition		
date	TypeDefinition		
date_or_datetime	TypeDefinition		
datetime	TypeDefinition		
deactivated	SlotDefinition		
decimal	TypeDefinition		
