slot_name	num_children	num_classes	num_modifying	num_grouped	num_mixin_usage	deprecation_count	from_schema
dna_absorb2	0	0	0	0	0	0	https://w3id.org/nmdc/core
chemical_formula	0	0	0	0	0	0	https://w3id.org/nmdc/core
inchi_key	0	0	0	0	0	1	https://w3id.org/nmdc/core
inchi	0	0	0	0	0	1	https://w3id.org/nmdc/core
smiles	0	0	0	0	0	1	https://w3id.org/nmdc/core
insdc_sra_ena_study_identifiers	0	0	0	0	0	0	https://w3id.org/nmdc/external_identifiers
insdc_secondary_sample_identifiers	0	0	0	0	0	0	https://w3id.org/nmdc/external_identifiers
jgi_portal_analysis_project_identifiers	0	0	0	0	0	0	https://w3id.org/nmdc/external_identifiers
insdc_analysis_identifiers	0	0	0	0	0	0	https://w3id.org/nmdc/external_identifiers
mgnify_analysis_identifiers	0	0	0	0	0	0	https://w3id.org/nmdc/external_identifiers
chimera_check	0	0	0	0	0	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
nucl_acid_ext	0	0	0	0	0	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
pool_dna_extracts	0	0	0	0	0	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
samp_vol_we_dna_ext	0	0	0	0	0	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
seq_meth	0	0	0	0	0	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
seq_quality_check	0	0	0	0	0	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
emsl_store_temp	0	0	0	0	0	0	https://w3id.org/nmdc/emsl
ecosystem_path_id	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
sample_collection_year	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
sample_collection_month	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
date_created	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
etl_software_version	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
chemical_entity_set	0	0	0	0	0	1	https://w3id.org/nmdc/nmdc
ontology_class_set	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
sample_collection_day	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
sample_collection_hour	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
sample_collection_minute	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
biogas_temperature	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
soil_annual_season_temp	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
biogas_retention_time	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
completion_date	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
material_component_separation	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
value	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
modifier_substance	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
input_volume	0	0	0	0	0	0	https://w3id.org/nmdc/nmdc
predicate	0	0	0	0	0	0	https://w3id.org/nmdc/basic_classes
object	0	0	0	0	0	0	https://w3id.org/nmdc/basic_classes
