slot_name	slot_source_file	slot_range	slot_range_obj_type	slot_uri	slot_parent
host_disease_stat	mixs.yaml	TextValue	class_definition	MIXS:0000031	nucleic acid sequence source field
neon_biosample_identifiers	external_identifiers	external_identifier	type_definition	nmdc:neon_biosample_identifiers	biosample_identifiers
host_taxid	mixs.yaml	ControlledIdentifiedTermValue	class_definition	MIXS:0000250	core field
embargoed	nmdc	boolean	type_definition	nmdc:embargoed	
collected_from	nmdc	FieldResearchSite	class_definition	nmdc:collected_from	
type	basic_slots	string	type_definition	nmdc:type	
img_identifiers	external_identifiers	external_identifier	type_definition	nmdc:img_identifiers	external_database_identifiers
samp_name	mixs.yaml	string	type_definition	MIXS:0001107	investigation field
biosample_categories	nmdc	BiosampleCategoryEnum	enum_definition	nmdc:biosample_categories	
part_of	core	Study	class_definition	dcterms:isPartOf	
id	basic_slots	uriorcurie	type_definition	nmdc:id	
alternative_identifiers	basic_slots	uriorcurie	type_definition	nmdc:alternative_identifiers	
gold_biosample_identifiers	external_identifiers	uriorcurie	type_definition	nmdc:gold_biosample_identifiers	biosample_identifiers
insdc_biosample_identifiers	external_identifiers	external_identifier	type_definition	nmdc:insdc_biosample_identifiers	biosample_identifiers
emsl_biosample_identifiers	external_identifiers	external_identifier	type_definition	nmdc:emsl_biosample_identifiers	biosample_identifiers
igsn_biosample_identifiers	external_identifiers	external_identifier	type_definition	nmdc:igsn_biosample_identifiers	biosample_identifiers
abs_air_humidity	mixs.yaml	QuantityValue	class_definition	MIXS:0000122	core field
add_recov_method	mixs.yaml	TextValue	class_definition	MIXS:0001009	core field
additional_info	mixs.yaml	TextValue	class_definition	MIXS:0000300	core field
address	mixs.yaml	TextValue	class_definition	MIXS:0000218	core field
adj_room	mixs.yaml	TextValue	class_definition	MIXS:0000219	core field
aero_struc	mixs.yaml	TextValue	class_definition	MIXS:0000773	core field
agrochem_addition	mixs.yaml	TextValue	class_definition	MIXS:0000639	core field
air_PM_concen	mixs.yaml	TextValue	class_definition	MIXS:0000108	core field
air_temp	mixs.yaml	QuantityValue	class_definition	MIXS:0000124	core field
air_temp_regm	mixs.yaml	TextValue	class_definition	MIXS:0000551	core field
al_sat	mixs.yaml	QuantityValue	class_definition	MIXS:0000607	core field
al_sat_meth	mixs.yaml	TextValue	class_definition	MIXS:0000324	core field
alkalinity	mixs.yaml	QuantityValue	class_definition	MIXS:0000421	core field
alkalinity_method	mixs.yaml	TextValue	class_definition	MIXS:0000298	core field
alkyl_diethers	mixs.yaml	QuantityValue	class_definition	MIXS:0000490	core field
alt	mixs.yaml	QuantityValue	class_definition	MIXS:0000094	environment field
aminopept_act	mixs.yaml	QuantityValue	class_definition	MIXS:0000172	core field
ammonium	mixs.yaml	QuantityValue	class_definition	MIXS:0000427	core field
ammonium_nitrogen	nmdc	QuantityValue	class_definition	nmdc:ammonium_nitrogen	
amount_light	mixs.yaml	QuantityValue	class_definition	MIXS:0000140	core field
ances_data	mixs.yaml	TextValue	class_definition	MIXS:0000247	core field
annual_precpt	mixs.yaml	QuantityValue	class_definition	MIXS:0000644	core field
annual_temp	mixs.yaml	QuantityValue	class_definition	MIXS:0000642	core field
antibiotic_regm	mixs.yaml	TextValue	class_definition	MIXS:0000553	core field
api	mixs.yaml	QuantityValue	class_definition	MIXS:0000157	core field
arch_struc	mixs.yaml	arch_struc_enum	enum_definition	MIXS:0000774	core field
aromatics_pc	mixs.yaml	TextValue	class_definition	MIXS:0000133	core field
asphaltenes_pc	mixs.yaml	TextValue	class_definition	MIXS:0000135	core field
atmospheric_data	mixs.yaml	TextValue	class_definition	MIXS:0001097	core field
avg_dew_point	mixs.yaml	QuantityValue	class_definition	MIXS:0000141	core field
avg_occup	mixs.yaml	TextValue	class_definition	MIXS:0000775	core field
avg_temp	mixs.yaml	QuantityValue	class_definition	MIXS:0000142	core field
bac_prod	mixs.yaml	QuantityValue	class_definition	MIXS:0000683	core field
bac_resp	mixs.yaml	QuantityValue	class_definition	MIXS:0000684	core field
bacteria_carb_prod	mixs.yaml	QuantityValue	class_definition	MIXS:0000173	core field
barometric_press	mixs.yaml	QuantityValue	class_definition	MIXS:0000096	core field
basin	mixs.yaml	TextValue	class_definition	MIXS:0000290	core field
bathroom_count	mixs.yaml	TextValue	class_definition	MIXS:0000776	core field
bedroom_count	mixs.yaml	TextValue	class_definition	MIXS:0000777	core field
benzene	mixs.yaml	QuantityValue	class_definition	MIXS:0000153	core field
biochem_oxygen_dem	mixs.yaml	QuantityValue	class_definition	MIXS:0000653	core field
biocide	mixs.yaml	TextValue	class_definition	MIXS:0001011	core field
biocide_admin_method	mixs.yaml	TextValue	class_definition	MIXS:0000456	core field
biol_stat	mixs.yaml	biol_stat_enum	enum_definition	MIXS:0000858	core field
biomass	mixs.yaml	TextValue	class_definition	MIXS:0000174	core field
biotic_regm	mixs.yaml	TextValue	class_definition	MIXS:0001038	core field
biotic_relationship	mixs.yaml	biotic_relationship_enum	enum_definition	MIXS:0000028	nucleic acid sequence source field
bishomohopanol	mixs.yaml	QuantityValue	class_definition	MIXS:0000175	core field
blood_press_diast	mixs.yaml	QuantityValue	class_definition	MIXS:0000258	core field
blood_press_syst	mixs.yaml	QuantityValue	class_definition	MIXS:0000259	core field
bromide	mixs.yaml	QuantityValue	class_definition	MIXS:0000176	core field
build_docs	mixs.yaml	build_docs_enum	enum_definition	MIXS:0000787	core field
build_occup_type	mixs.yaml	build_occup_type_enum	enum_definition	MIXS:0000761	core field
building_setting	mixs.yaml	building_setting_enum	enum_definition	MIXS:0000768	core field
built_struc_age	mixs.yaml	QuantityValue	class_definition	MIXS:0000145	core field
built_struc_set	mixs.yaml	TextValue	class_definition	MIXS:0000778	core field
built_struc_type	mixs.yaml	TextValue	class_definition	MIXS:0000721	core field
calcium	mixs.yaml	QuantityValue	class_definition	MIXS:0000432	core field
carb_dioxide	mixs.yaml	QuantityValue	class_definition	MIXS:0000097	core field
carb_monoxide	mixs.yaml	QuantityValue	class_definition	MIXS:0000098	core field
carb_nitro_ratio	mixs.yaml	QuantityValue	class_definition	MIXS:0000310	core field
ceil_area	mixs.yaml	QuantityValue	class_definition	MIXS:0000148	core field
ceil_cond	mixs.yaml	ceil_cond_enum	enum_definition	MIXS:0000779	core field
ceil_finish_mat	mixs.yaml	ceil_finish_mat_enum	enum_definition	MIXS:0000780	core field
ceil_struc	mixs.yaml	TextValue	class_definition	MIXS:0000782	core field
ceil_texture	mixs.yaml	ceil_texture_enum	enum_definition	MIXS:0000783	core field
ceil_thermal_mass	mixs.yaml	QuantityValue	class_definition	MIXS:0000143	core field
ceil_type	mixs.yaml	ceil_type_enum	enum_definition	MIXS:0000784	core field
ceil_water_mold	mixs.yaml	TextValue	class_definition	MIXS:0000781	core field
chem_administration	mixs.yaml	ControlledTermValue	class_definition	MIXS:0000751	core field
chem_mutagen	mixs.yaml	TextValue	class_definition	MIXS:0000555	core field
chem_oxygen_dem	mixs.yaml	QuantityValue	class_definition	MIXS:0000656	core field
chem_treat_method	mixs.yaml	string	type_definition	MIXS:0000457	core field
