id	env_broad_scale	consensus_id	consensus_lab
BIOSAMPLE:SAMEA1034773	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034788	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034797	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034781	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034803	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034774	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034792	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034776	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034789	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034782	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034800	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034783	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034798	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034787	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034777	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034794	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034780	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034786	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034775	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034790	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034785	ENVO:01000024	ENVO:01000024	marine benthic biome
BIOSAMPLE:SAMEA1034799	ENVO:01000024	ENVO:01000024	marine benthic biome
