sc,p,l,su,u,count,valid,remediation
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000018,depth,,m,10447,no_spec,add m to schema acceptable units
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000110,samp_store_temp,Cel,Cel,4219,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000177,chlorophyll,mg/m3|ug/L,ug/L,206,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000184,silicate,umol/L,umol/L,275,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000425,nitrate,[ppm]|mg/L|umol/L,umol/L,293,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000426,nitrite,[ppm]|mg/L|umol/L,umol/L,275,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000427,ammonium,[ppm]|mg/L|umol/L,umol/L,275,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000505,phosphate,umol/L,umol/L,275,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000102,tot_nitro,mg/L|ug/L|umol/L,mg/L,31,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000113,temp,Cel,Cel,5198,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000119,diss_oxygen,mg/L|umol/kg,mg/L,464,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000433,diss_org_carb,mg/L|umol/L,ug/L,31,invalid,convert data from ug/L to mg/L (multiply by 0.001)
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000515,part_org_carb,ug/L,mg/L,31,invalid,convert data from mg/L to ug/L (multiply by 1000)
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000692,conduc,mS/cm,uS/cm,209,invalid,convert data from uS/cm to mS/cm (multiply by 0.001)
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000719,part_org_nitro,ug/L|umol/L,mg/L,31,invalid,convert data from mg/L to ug/L (multiply by 1000)
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000735,size_frac_low,um,um,31,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000738,soluble_react_phosp,[ppm]|mg/L|umol/L,ug/L,31,invalid,convert data from ug/L to mg/L (multiply by 0.001)
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000741,suspend_part_matter,mg/L,mg/L,31,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000435,density,g/cm3|g/m3,kg/m3,153,invalid,convert data from kg/m3 to g/m3 (multiply by 1000)
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000117,tot_phosp,[ppm]|mg/L|umol/L,umol/L,64,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000119,diss_oxygen,mg/L|umol/kg,mL/L,101,invalid,review data - mL/L may be incorrect unit for dissolved oxygen
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000692,conduc,mS/cm,mS/cm,117,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000704,fluor,,mg/m3,118,no_spec,add mg/m3 to schema acceptable units
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000744,tot_diss_nitro,ug/L,umol/L,64,invalid,convert data from umol/L to ug/L (requires molecular weight conversion)
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000119,diss_oxygen,mg/L|umol/kg,umol/L,17,invalid,convert data from umol/L to mg/L (multiply by 0.032 for O2)
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000255,host_age,a|d|h,d,138,valid,none required
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000117,tot_phosp,[ppm]|mg/L|umol/L,[ppm],127,valid,none required
https://w3id.org/nmdc/ChemicalConversionProcess,https://w3id.org/nmdc/duration,duration,,h,72,no_spec,add h to schema acceptable units
https://w3id.org/nmdc/PortionOfSubstance,https://w3id.org/nmdc/volume,volume,,mL,4088,no_spec,add mL to schema acceptable units
https://w3id.org/nmdc/ChemicalConversionProcess,https://w3id.org/nmdc/temperature,temperature,,Cel,72,no_spec,add Cel to schema acceptable units
https://w3id.org/nmdc/MobilePhaseSegment,https://w3id.org/nmdc/duration,duration,,min,14,no_spec,add min to schema acceptable units
https://w3id.org/nmdc/PortionOfSubstance,https://w3id.org/nmdc/final_concentration,final_concentration,,%,29,no_spec,add % to schema acceptable units
https://w3id.org/nmdc/ChromatographyConfiguration,https://w3id.org/nmdc/temperature,temperature,,Cel,4,no_spec,add Cel to schema acceptable units
