field_name	has_maximum_numeric_value	has_minimum_numeric_value	has_numeric_value	has_unit	has_raw_value	type
abs_air_humidity			9.0	g/g	9 gram per gram	nmdc:QuantityValue
air_temp			20.0	Cel	20 degree Celsius	nmdc:QuantityValue
al_sat			19	%	19 %	nmdc:QuantityValue
alkalinity			50.0	mg/L	50 milligram per liter	nmdc:QuantityValue
alkyl_diethers			0.005	mol/L	0.005 mole per liter	nmdc:QuantityValue
alt			100.0	m	100 meter	nmdc:QuantityValue
aminopept_act			0.269	mol/L/h	0.269 mole per liter per hour	nmdc:QuantityValue
ammonium			1.5	mg/L	1.5 milligram per liter	nmdc:QuantityValue
ammonium_nitrogen			0.5	mg/kg	0.5 mg/kg	nmdc:QuantityValue
amount_light				lx	xxx	nmdc:QuantityValue
annual_precpt			0.5	mm	0.5 mm	nmdc:QuantityValue
annual_temp			12.5	Cel	12.5 degree Celsius	nmdc:QuantityValue
api				1	xxx	nmdc:QuantityValue
avg_dew_point			25.5	Cel	25.5 degree Celsius	nmdc:QuantityValue
avg_temp				Cel	xxx	nmdc:QuantityValue
bac_prod			5.0	mg/m3/d	5 milligram per cubic meter per day	nmdc:QuantityValue
bac_resp				mg/m3/d	xxx	nmdc:QuantityValue
bacteria_carb_prod			2.53	ng/h	2.53 ng/h	nmdc:QuantityValue
barometric_press			5.0	mbar	5 millibar	nmdc:QuantityValue
benzene				mg/L	xxx	nmdc:QuantityValue
biochem_oxygen_dem				mg/L	xxx	nmdc:QuantityValue
bishomohopanol				ug/L	14 microgram per liter	nmdc:QuantityValue
blood_press_diast				mm[Hg]	xxx	nmdc:QuantityValue
blood_press_syst				mm[Hg]	xxx	nmdc:QuantityValue
bromide			0.05	[ppm]	0.05 parts per million	nmdc:QuantityValue
built_struc_age			7	a	7 years	nmdc:QuantityValue
calcium			0.2	umol/L	0.2 micromole per liter	nmdc:QuantityValue
carb_dioxide			410.0	[ppm]	410 parts per million	nmdc:QuantityValue
carb_monoxide				umol/L	xxx	nmdc:QuantityValue
carb_nitro_ratio			0.417361111	1	0.417361111	nmdc:QuantityValue
ceil_area				m2	xxx	nmdc:QuantityValue
ceil_thermal_mass				J/K	xxx	nmdc:QuantityValue
chem_oxygen_dem				mg/L	xxx	nmdc:QuantityValue
chloride			5000.0	mg/L	5000 milligram per liter	nmdc:QuantityValue
